2026-06-12 04:35:33 +0300 - [run_measurements] - INFO - Fetching connected RIPE Atlas probes for country JP
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50304 in network 125.14.128.0/17 (AS 9824)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50366 in network 114.160.0.0/11 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50385 in network 121.80.0.0/14 (AS 17511)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50417 in network 219.106.224.0/19 (AS 9600)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50447 in network 217.178.0.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50499 in network 36.8.0.0/13 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50501 in network 219.160.0.0/13 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 51221 in network 192.26.93.0/24 (AS 4697)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 51329 in network 124.211.128.0/17 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 51663 in network 210.138.0.0/16 (AS 2497)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 52030 in network 111.109.0.0/16 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 52128 in network 126.139.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 52158 in network 217.178.192.0/18 (AS 55392)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 52625 in network 138.64.0.0/16 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 52844 in network 118.0.0.0/12 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 53163 in network 58.88.0.0/13 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 53502 in network 133.32.224.0/19 (AS 2519)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 53906 in network 125.192.0.0/13 (AS 2518)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 54316 in network 114.17.0.0/16 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 54355 in network 222.224.128.0/17 (AS 9595)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 54575 in network 131.112.0.0/16 (AS 9367)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 54893 in network 111.100.0.0/16 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 55091 in network 118.240.0.0/15 (AS 2527)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 55479 in network 119.245.0.0/16 (AS 2514)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 55494 in network 218.228.128.0/17 (AS 17511)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 60306 in network 133.13.0.0/16 (AS 17960)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 60782 in network 183.76.0.0/15 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 60865 in network 118.108.0.0/14 (AS 2518)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 60869 in network 202.226.4.0/23 (AS 59105)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 61328 in network 14.132.0.0/16 (AS 18126)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 61354 in network 133.32.124.0/22 (AS 23630)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 61391 in network 133.32.224.0/19 (AS 2519)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 61424 in network 217.178.192.0/18 (AS 55392)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 61431 in network 124.18.0.0/16 (AS 18126)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 61645 in network 175.111.124.0/22 (AS 23788)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 62268 in network 42.145.0.0/16 (AS 9824)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 62326 in network 118.0.0.0/12 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 62624 in network 203.181.248.0/23 (AS 7660)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 62684 in network 217.178.128.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 62852 in network 219.105.176.0/20 (AS 10019)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 64863 in network 180.233.142.0/24 (AS 24284)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 65361 in network 202.12.28.0/24 (AS 4777)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 65595 in network 150.91.192.0/20 (AS 131925)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1000167 in network 133.130.64.0/18 (AS 7506)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1000179 in network 111.236.0.0/14 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1000342 in network 202.51.8.0/21 (AS 23661)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1000986 in network 45.159.51.0/24 (AS 3258)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1001323 in network 104.238.160.0/23 (AS 20473)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1002023 in network 23.81.40.0/21 (AS 134351)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1002678 in network 64.110.96.0/20 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003233 in network 60.71.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003380 in network 15.152.0.0/16 (AS 16509)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003384 in network 35.72.0.0/13 (AS 16509)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003605 in network 59.146.0.0/15 (AS 2527)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003730 in network 103.143.136.0/24 (AS 63781)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003751 in network 138.2.0.0/19 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003895 in network 172.105.224.0/20 (AS 63949)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003967 in network 138.64.0.0/16 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003990 in network 158.101.128.0/20 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1003991 in network 152.70.80.0/21 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004049 in network 167.179.64.0/18 (AS 20473)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004110 in network 150.230.96.0/20 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004219 in network 133.32.128.0/20 (AS 2519)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004292 in network 43.128.224.0/19 (AS 132203)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004309 in network 43.133.192.0/19 (AS 132203)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004368 in network 20.192.0.0/10 (AS 8075)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004430 in network 20.192.0.0/10 (AS 8075)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004485 in network 210.185.128.0/19 (AS 10004)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004498 in network 157.101.128.0/19 (AS 10004)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004594 in network 111.234.128.0/18 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004731 in network 131.147.0.0/16 (AS 2527)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004877 in network 126.114.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1004919 in network 126.159.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005283 in network 133.32.208.0/20 (AS 2519)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005363 in network 217.178.128.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005457 in network 218.231.64.0/19 (AS 2915)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005471 in network 172.104.96.0/19 (AS 63949)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005590 in network 139.162.96.0/19 (AS 63949)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005710 in network 58.188.0.0/14 (AS 17511)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005718 in network 13.208.0.0/16 (AS 16509)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005729 in network 220.153.192.0/18 (AS 18081)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005730 in network 180.0.0.0/10 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005742 in network 8.211.160.0/19 (AS 45102)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005888 in network 217.178.128.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005891 in network 217.178.0.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005892 in network 217.178.0.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005893 in network 217.178.0.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005927 in network 126.126.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1005934 in network 125.192.0.0/13 (AS 2518)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1006012 in network 58.12.0.0/15 (AS 17506)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1006070 in network 125.192.0.0/13 (AS 2518)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1006511 in network 158.51.111.0/24 (AS 18526)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1006609 in network 210.157.192.0/19 (AS 138384)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007320 in network 111.168.0.0/15 (AS 2518)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007328 in network 217.178.0.0/18 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007464 in network 153.192.0.0/11 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007581 in network 119.238.0.0/15 (AS 2518)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007612 in network 121.84.0.0/14 (AS 17511)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007621 in network 125.30.0.0/16 (AS 2497)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007873 in network 202.222.12.0/24 (AS 59103)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1007965 in network 218.231.248.0/23 (AS 37904)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008159 in network 45.14.106.0/24 (AS 4785)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008206 in network 60.134.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008224 in network 131.129.0.0/16 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008303 in network 211.14.30.0/23 (AS 9607)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008545 in network 220.104.0.0/13 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008728 in network 84.33.12.0/23 (AS 34081)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008812 in network 157.82.0.0/16 (AS 2501)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1008990 in network 49.109.96.0/19 (AS 9605)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009068 in network 119.228.0.0/14 (AS 17511)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009070 in network 119.228.0.0/14 (AS 17511)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009076 in network 222.228.128.0/17 (AS 2519)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009116 in network 206.83.124.0/23 (AS 14593)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009209 in network 172.105.192.0/19 (AS 63949)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009353 in network 146.19.19.0/24 (AS 3258)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009470 in network 45.197.88.0/24 (AS 63139)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009506 in network 133.18.0.0/16 (AS 24282)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009516 in network 43.228.174.0/24 (AS 63806)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009705 in network 202.79.240.0/21 (AS 24253)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009771 in network 124.96.0.0/13 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1009795 in network 123.200.32.0/19 (AS 18094)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1010148 in network 45.88.43.0/24 (AS 212238)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1010359 in network 202.1.212.0/24 (AS 131971)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1010361 in network 202.1.214.0/24 (AS 131971)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1010512 in network 45.250.255.0/24 (AS 396356)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1010741 in network 13.112.0.0/14 (AS 16509)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1010887 in network 139.162.64.0/19 (AS 63949)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1010924 in network 104.251.228.0/24 (AS 140042)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011108 in network 212.52.0.0/24 (AS 63473)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011110 in network 140.235.199.0/24 (AS 214675)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011157 in network 163.226.0.0/16 (AS 2907)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011295 in network 210.140.128.0/18 (AS 4694)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011303 in network 210.236.240.0/20 (AS 4694)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011364 in network 218.231.96.0/19 (AS 2915)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011375 in network 47.79.80.0/21 (AS 45102)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011387 in network 142.91.104.0/23 (AS 134351)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011490 in network 153.240.0.0/13 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011557 in network 140.235.121.0/24 (AS 152184)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011561 in network 180.144.0.0/14 (AS 17511)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011562 in network 163.221.0.0/16 (AS 131158)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011563 in network 168.138.32.0/19 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011589 in network 103.179.45.0/24 (AS 149020)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011666 in network 133.106.32.0/19 (AS 138384)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011788 in network 153.240.0.0/13 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011841 in network 168.110.0.0/18 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011855 in network 122.208.0.0/14 (AS 17506)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1011869 in network 138.64.0.0/16 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1012062 in network 160.187.26.0/23 (AS 152865)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1012176 in network 208.91.107.0/24 (AS 20326)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1012227 in network 138.3.208.0/20 (AS 31898)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1012358 in network 119.245.0.0/16 (AS 2514)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 1012582 in network 8.244.0.0/15 (AS 3356)
